Days,Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
1D,HIGH,SPLINE,XGB,0.944238909706211,0.944238909706166,0.975774703530696,1.0427155077521626,0.7782241697311402,0.0253972799611424
3D,LOW,LINEAR,Ada,0.6286067144654295,0.6286067144651774,0.9399307167665124,1.518923090698655,1.1687997498789315,0.0666423534811862
3D,LOW,LINEAR,DT,0.5394748940215571,0.5394748940212393,0.9403888388353404,1.679823032340301,1.1759132178955607,0.0673286419763662
3D,LOW,LINEAR,GB,0.7567052328347105,0.7567052328345418,0.9551060894965832,1.2112819320834507,0.8598500583484444,0.049115706145082
3D,LOW,LINEAR,KNN,0.7358648624399726,0.7358648624397905,0.9529762048133552,1.2690742821199397,0.9031666962305704,0.0516095894522874
3D,LOW,LINEAR,LGBM,0.7612267737804963,0.7612267737803311,0.9553164048447896,1.2012937022237649,0.8549340330610322,0.0488266475703605
3D,LOW,LINEAR,LN,0.7510506690231877,0.7510506690230159,0.9543939893026034,1.2248777301518747,0.8748881546656291,0.0499093226395747
3D,LOW,LINEAR,Lasso,0.749931145972367,0.7499311459721942,0.954265357264382,1.227283296231533,0.8775111639499665,0.0500569541816471
3D,LOW,LINEAR,RF,0.7253737422662969,0.7253737422661075,0.9520690624807826,1.2923578389088934,0.9224591050808776,0.0526888943117578
3D,LOW,LINEAR,Ridge,0.7510502381281189,0.7510502381279469,0.9543939042111772,1.2248787642805996,0.8748897699515025,0.0499094162942235
3D,LOW,LINEAR,SVR,0.7605535951786733,0.7605535951785073,0.956131619364938,1.1999536258781878,0.8412416172609556,0.0479942050513959
3D,LOW,LINEAR,XGB,0.7560253033071752,0.7560253033070072,0.9547394518067348,1.2190900099309143,0.8670424008369446,0.0495061060764978
3D,LOW,MEAN,Ada,0.6383634191393378,0.6383634191390919,0.940759338791062,1.5035107516119453,1.1496591350307803,0.0656668290203043
3D,LOW,MEAN,DT,0.5383340191734138,0.5383340191730971,0.939242763790696,1.6886450516682143,1.198326392703586,0.0685261676922307
3D,LOW,MEAN,GB,0.7563429898702347,0.7563429898700659,0.9551285817003088,1.2124894939829067,0.8594197645116216,0.0490971814647057
3D,LOW,MEAN,KNN,0.7373336758435174,0.7373336758433365,0.9534453747899112,1.2655690565259723,0.894375018676122,0.0511089512608403
3D,LOW,MEAN,LGBM,0.7615335754746169,0.7615335754744517,0.9554868325229258,1.1990490502928866,0.8516558400569663,0.048643186780497
3D,LOW,MEAN,LN,0.7509295586336546,0.7509295586334825,0.9543822878948852,1.2252750298756931,0.8751447566350301,0.0499229202026976
3D,LOW,MEAN,Lasso,0.7498454685061677,0.7498454685059948,0.9542603172047768,1.2275662017303464,0.8776308536529541,0.0500631346666997
3D,LOW,MEAN,RF,0.7235343491054318,0.7235343491052411,0.9522268090204444,1.2959303798597268,0.9199909920027516,0.0525456345952717
3D,LOW,MEAN,Ridge,0.7509292319752721,0.7509292319751,0.954382214870947,1.2252757950997544,0.8751461454232534,0.0499230000339072
3D,LOW,MEAN,SVR,0.7604851252286349,0.7604851252284689,0.95617483611901,1.200185316613672,0.8404928003323937,0.0479529549791384
3D,LOW,MEAN,XGB,0.756135561702819,0.756135561702651,0.9553638474908692,1.2191369103063006,0.8554921201864879,0.0488756400277932
3D,LOW,SPLINE,Ada,0.6349085232746161,0.6349085232743679,0.9406485714073292,1.5065119232751532,1.1538301075476218,0.0658065359081951
3D,LOW,SPLINE,DT,0.528104853254109,0.5281048532537851,0.938232825788448,1.707356705739149,1.218890631099542,0.0697443749166242
3D,LOW,SPLINE,GB,0.7551761643806991,0.755176164380529,0.9550248226393449,1.212369385524512,0.8614373247551141,0.0492112594201817
3D,LOW,SPLINE,KNN,0.7378973642209419,0.7378973642207602,0.9533650591711272,1.2587073236181403,0.8951250012715657,0.0511713608965886
3D,LOW,SPLINE,LGBM,0.7638054381350546,0.763805438134891,0.9556670403231132,1.1920202344225734,0.8476719307806923,0.0484237897476797
3D,LOW,SPLINE,LN,0.736060542003674,0.736060542003492,0.9527521198132592,1.2588783195849336,0.909266732931137,0.0517996271837095
3D,LOW,SPLINE,Lasso,0.7344549559378285,0.7344549559376452,0.9525776218631666,1.2625128227554103,0.912906394402186,0.0520021271685013
3D,LOW,SPLINE,RF,0.7250513157049399,0.7250513157047498,0.952228514192246,1.2907511575253896,0.9190373532776306,0.0525171908125734
3D,LOW,SPLINE,Ridge,0.7360604770628625,0.7360604770626804,0.9527520646425196,1.2588784819981889,0.9092677104473116,0.0517996848636482
3D,LOW,SPLINE,SVR,0.7626222997135432,0.7626222997133785,0.9562887714283614,1.193109135050927,0.8377697190594514,0.0477998588285813
3D,LOW,SPLINE,XGB,0.7517897858077631,0.7517897858075921,0.9548566225514202,1.2315179695497835,0.8658342822392782,0.0494528056004048
3D,MED,LINEAR,Ada,0.746695508726854,0.7466955087266767,0.9524158181527328,1.4983277147369147,1.1698959873922197,0.0516702491383348
3D,MED,LINEAR,DT,0.677396925047348,0.677396925047106,0.9513059908424476,1.6629255122088349,1.2011309807641164,0.0536404191424817
3D,MED,LINEAR,GB,0.8248812098595609,0.8248812098594325,0.9640498518195096,1.2189199340851666,0.8652037794320885,0.0386955934663767
3D,MED,LINEAR,KNN,0.7992783626316984,0.7992783626315497,0.9607561563345468,1.3050340962107183,0.951523798987979,0.0423712234085783
3D,MED,LINEAR,LGBM,0.8323398151769859,0.8323398151768621,0.9652156009457892,1.1896617757468253,0.8362717544043949,0.0374127630952226
3D,MED,LINEAR,LN,0.8134024471421869,0.8134024471420497,0.9626876116341048,1.2571803525047034,0.9002808282488869,0.0402314492858206
3D,MED,LINEAR,Lasso,0.8149656143781465,0.8149656143780106,0.962595791707641,1.2511025290363638,0.901072190205256,0.0403009979633509
3D,MED,LINEAR,RF,0.8315899799780978,0.8315899799779728,0.9653661870573996,1.1922954745535523,0.8344428530079977,0.0372599859403193
3D,MED,LINEAR,Ridge,0.8134026869876678,0.8134026869875307,0.9626875908292571,1.2571795277471094,0.9002812520095279,0.0402314666928089
3D,MED,LINEAR,SVR,0.8252684956600234,0.8252684956598925,0.9649411789826275,1.2083766736360575,0.843680404251435,0.0377748769899139
3D,MED,LINEAR,XGB,0.8235587552493051,0.8235587552491749,0.964441349813999,1.2210059755935052,0.8584921253295171,0.0383103049392239
3D,MED,MEAN,Ada,0.7462944634549575,0.7462944634547843,0.9526564240713836,1.5094916054995795,1.1721159402330792,0.0514193573158903
3D,MED,MEAN,DT,0.6683194781637999,0.6683194781635535,0.9515016985094806,1.6843597095080665,1.199404787676675,0.0535578184392837
3D,MED,MEAN,GB,0.8214076493178191,0.8214076493176884,0.9635656371368826,1.23044885474195,0.8758098247394379,0.0392308651473414
3D,MED,MEAN,KNN,0.7970000463785532,0.7970000463784028,0.9605203488954336,1.3085165327103858,0.9580773794367198,0.0426263301192666
3D,MED,MEAN,LGBM,0.8302309320827722,0.8302309320826468,0.9649389471470826,1.1956463408820963,0.8413350099004889,0.0377171068256972
3D,MED,MEAN,LN,0.8109107742509298,0.8109107742507906,0.962291045071425,1.264699915363726,0.9095989966392516,0.0406633575839324
3D,MED,MEAN,Lasso,0.8122345616881439,0.8122345616880057,0.9621733226443872,1.2592299426694136,0.9106363358951752,0.0407629026336623
3D,MED,MEAN,RF,0.828050372548107,0.8280503725479799,0.9648992401943364,1.2057092512526717,0.8447244022091229,0.037782550754178
3D,MED,MEAN,Ridge,0.8109109970056166,0.8109109970054772,0.9622910153165252,1.264699292325171,0.9095996883369628,0.0406633842960502
3D,MED,MEAN,SVR,0.8213702809218396,0.8213702809217054,0.9644472215942016,1.2169071488375904,0.852449420361202,0.0383234924904313
3D,MED,MEAN,XGB,0.8234284168798954,0.8234284168797641,0.9643885379401848,1.2216995959680046,0.8563218484038398,0.0383661034182849
3D,MED,SPLINE,Ada,0.7488801894134716,0.7488801894132981,0.9530402895920445,1.4974307135378304,1.1585478964092175,0.0510060983215715
3D,MED,SPLINE,DT,0.662929029032479,0.6629290290322237,0.950688812708826,1.6888340001445532,1.215029768149058,0.0544527816886547
3D,MED,SPLINE,GB,0.8254024718007452,0.8254024718006177,0.964130946235634,1.21790885761764,0.8629981732849774,0.0386104515435529
3D,MED,SPLINE,KNN,0.7967500281974108,0.7967500281972625,0.9604807419649553,1.3224935016689494,0.9627499835264114,0.0426956398280515
3D,MED,SPLINE,LGBM,0.8315001808663364,0.8315001808662125,0.9651129739601336,1.1927237581503636,0.8388008122991024,0.0375285223942206
3D,MED,SPLINE,LN,0.808525209698646,0.8085252096985072,0.9619413584584656,1.2823088059296366,0.9242716163680668,0.0410593321851356
3D,MED,SPLINE,Lasso,0.8103370631588679,0.8103370631587302,0.961886360871972,1.2736074282677128,0.923212371269862,0.0410883340339576
